*DÄMMWERK Zonen- und Hüllflächenexport, Datenfelder sind durch Semikola getrennt, Stern am Zeilenanfang = Kommentar;;;;;;;;;;
"* Abschnitts-Marker; ZONEN, HUELLEN, BODENPLATTENMAße";;;;;;;;;;
"*Orientierungen; -;S;SSW;SW;SWW;W;NWW;NW;NNW;N;NNO;NO;NOO;O;SOO;SO;SSO;";;;;;;;;;;
"*Bauteiltypen; FAW;FF zur Außenluft;FAW Außentür;FD Dach;FD Decke nach unten;zum unbeheizten Raum;Trennwand;FF zur unbeheizten Zone;Innentür gegen unbeheizte Zone;Fd Decke nach oben;Fz Decke nach unten;Kellerwand;Fußboden auf Erdreich;Kellerdecke;";;;;;;;;;;
"* Bodenplattenmaße; Maximal 5 Stück möglich";;;;;;;;;;
;;;;;;;;;;
ZONEN;;;;;;;;;;
*Bezeichnung;Nummer;Ti,Soll;Ti,Soll,WE;ANGF;Ve;Vi;;;;
Unbeheizt;1;20;20;92;531;407;;;;
W1;2;20;20;79;289;220;;;;
Raumgruppe Nr.3;3;20;20;79;291;220;;;;
Raumgruppe Nr.4;4;20;20;79;382;295;;;;
Raumgruppe Nr.5;5;20;20;79;380;294;;;;
*;;;;;;;;;;
HUELLEN;;;;;;;;;;
*Bezeichnung;Fläche;Orientierung;Neigung;Zone;Grenzt an Zone;Flächen-ID;U-Wert;Typ;Bauteil-ID;zu B' Nr.
oberer Abschluss;;;;;;;;;;
Dach O;12,37;O;10;1;0;1;0,26;FD Dach;B27;
Dach W;12,37;W;10;1;0;2;0,26;FD Dach;B27;
Dach W;98,99;W;10;4;0;3;0,26;FD Dach;B27;
Dach O;98,51;O;10;5;0;4;0,26;FD Dach;B27;
Decke;45,38;-;0;1;3;5;0,31;Fd Decke nach oben;B28;
Decke;44,68;-;0;1;2;6;0,31;Fd Decke nach oben;B28;
Außenbauteile;;;;;;;;;;
Außentür S;3,08;S;90;1;0;7;1,3;FAW Außentür;B31;
Außentür N;2,42;N;90;2;0;8;1,3;FAW Außentür;B31;
Außentür N;2,42;N;90;3;0;9;1,3;FAW Außentür;B31;
Außentür N;2,42;N;90;4;0;10;1,3;FAW Außentür;B31;
Außentür N;2,42;N;90;5;0;11;1,3;FAW Außentür;B31;
Außenfenster S;9,24;S;90;1;0;12;1;FF zur Außenluft;F02;
Außenfenster S;3,81;S;90;2;0;13;1;FF zur Außenluft;F02;
Außenfenster W;3,81;W;90;2;0;14;1;FF zur Außenluft;F02;
Außenfenster N;2,69;N;90;2;0;15;1;FF zur Außenluft;F02;
Außenfenster S;0,74;S;90;2;0;16;1;FF zur Außenluft;F03;
Außenfenster N;2,75;N;90;2;0;17;1;FF zur Außenluft;F03;
Außenfenster S;3,81;S;90;3;0;18;1;FF zur Außenluft;F02;
Außenfenster O;3,81;O;90;3;0;19;1;FF zur Außenluft;F02;
Außenfenster N;2,69;N;90;3;0;20;1;FF zur Außenluft;F02;
Außenfenster S;0,74;S;90;3;0;21;1;FF zur Außenluft;F03;
Außenfenster N;2,75;N;90;3;0;22;1;FF zur Außenluft;F03;
Außenfenster S;3,81;S;90;4;0;23;1;FF zur Außenluft;F02;
Außenfenster W;3,81;W;90;4;0;24;1;FF zur Außenluft;F02;
